State,Percentage of People in Poverty,
United States,11.50,
Alabama,14.70,
Alaska,11.80,
Arizona,12.10,
Arkansas,15.00,
California,11.40,
Colorado,9.10,
Connecticut,9.70,
Delaware,7.60,
District of Columbia,13.70,
Florida,12.90,
Georgia,13.30,
Hawaii,9.40,
Idaho,10.00,
Illinois,10.40,
Indiana,11.10,
Iowa,8.60,
Kansas,10.40,
Kentucky,14.20,
Louisiana,19.10,
Maine,11.50,
Maryland,7.50,
Massachusetts,9.20,
Michigan,10.70,
Minnesota,7.40,
Mississippi,19.10,
Missouri,11.00,
Montana,10.10,
Nebraska,10.30,
Nevada,12.20,
New Hampshire,5.60,
New Jersey,8.20,
New Mexico,17.20,
New York,12.10,
North Carolina,13.60,
North Dakota,10.10,
Ohio,12.40,
Oklahoma,12.40,
Oregon,9.80,
Pennsylvania,10.50,
Rhode Island,9.80,
South Carolina,14.40,
South Dakota,10.60,
Tennessee,12.10,
Texas,12.70,
Utah,7.60,
Vermont,9.00,
Virginia,9.70,
Washington,8.80,
West Virginia,15.60,
Wisconsin,8.70,
Wyoming,10.50,
