State,State_Abbreviation,Unemployment_rate_2017,Unemployment_rate_2018,Unemployment_rate_2019
United States,US,4.4,3.9,3.7
Alabama,AL,4.5,3.9,3.2
Alaska,AK,6.5,6.0,5.6
Arizona,AZ,5.0,4.8,4.8
Arkansas,AR,3.7,3.7,3.5
California,CA,4.8,4.2,4.1
Colorado,CO,2.6,3.0,2.7
Connecticut,CT,4.4,3.9,3.6
Delaware,DE,4.5,3.7,3.6
District of Columbia,DC,6.1,5.7,5.5
Florida,FL,4.3,3.6,3.2
Georgia,GA,4.8,4.0,3.6
Hawaii,HI,2.2,2.4,2.5
Idaho,ID,3.2,2.9,2.9
Illinois,IL,4.9,4.4,4.0
Indiana,IN,3.5,3.4,3.3
Iowa,IA,3.1,2.6,2.7
Kansas,KS,3.6,3.4,3.3
Kentucky,KY,4.8,4.2,4.1
Louisiana,LA,5.1,4.8,4.6
Maine,ME,3.4,3.2,2.9
Maryland,MD,4.0,3.8,3.4
Massachusetts,MA,3.8,3.5,3.0
Michigan,MI,4.6,4.2,4.1
Minnesota,MN,3.5,3.0,3.3
Mississippi,MS,5.2,4.9,5.5
Missouri,MO,3.7,3.2,3.2
Montana,MT,4.1,3.7,3.5
Nebraska,NE,3.0,2.9,3.1
Nevada,NV,5.0,4.4,4.1
New Hampshire,NH,2.8,2.6,2.6
New Jersey,NJ,4.5,4.0,3.5
New Mexico,NM,6.1,4.9,5.0
New York,NY,4.6,4.1,3.9
North Carolina,NC,4.5,4.0,3.9
North Dakota,ND,2.6,2.4,2.2
Ohio,OH,5.0,4.5,4.2
Oklahoma,OK,4.0,3.3,3.1
Oregon,OR,4.1,4.0,3.7
Pennsylvania,PA,5.0,4.4,4.3
Rhode Island,RI,4.5,4.0,3.5
South Carolina,SC,4.2,3.4,2.8
South Dakota,SD,3.1,2.8,2.8
Tennessee,TN,3.7,3.5,3.3
Texas,TX,4.3,3.9,3.5
Utah,UT,3.1,2.9,2.5
Vermont,VT,3.0,2.5,2.1
Virginia,VA,3.7,3.0,2.8
Washington,WA,4.6,4.4,4.2
West Virginia,WV,5.2,5.1,5.0
Wisconsin,WI,3.3,3.0,3.2
Wyoming,WY,4.3,4.1,3.7
