State,State_Abbreviation,Unemployment_rate_2017,,,
United States,US,4.4,,,
Alabama,AL,4.5,,,
Alaska,AK,6.5,,,
Arizona,AZ,5.0,,,
Arkansas,AR,3.7,,,
California,CA,4.8,,,
Colorado,CO,2.6,,,
Connecticut,CT,4.4,,,
Delaware,DE,4.5,,,
District of Columbia,DC,6.1,,,
Florida,FL,4.3,,,
Georgia,GA,4.8,,,
Hawaii,HI,2.2,,,
Idaho,ID,3.2,,,
Illinois,IL,4.9,,,
Indiana,IN,3.5,,,
Iowa,IA,3.1,,,
Kansas,KS,3.6,,,
Kentucky,KY,4.8,,,
Louisiana,LA,5.1,,,
Maine,ME,3.4,,,
Maryland,MD,4.0,,,
Massachusetts,MA,3.8,,,
Michigan,MI,4.6,,,
Minnesota,MN,3.5,,,
Mississippi,MS,5.2,,,
Missouri,MO,3.7,,,
Montana,MT,4.1,,,
Nebraska,NE,3.0,,,
Nevada,NV,5.0,,,
New Hampshire,NH,2.8,,,
New Jersey,NJ,4.5,,,
New Mexico,NM,6.1,,,
New York,NY,4.6,,,
North Carolina,NC,4.5,,,
North Dakota,ND,2.6,,,
Ohio,OH,5.0,,,
Oklahoma,OK,4.0,,,
Oregon,OR,4.1,,,
Pennsylvania,PA,5.0,,,
Rhode Island,RI,4.5,,,
South Carolina,SC,4.2,,,
South Dakota,SD,3.1,,,
Tennessee,TN,3.7,,,
Texas,TX,4.3,,,
Utah,UT,3.1,,,
Vermont,VT,3.0,,,
Virginia,VA,3.7,,,
Washington,WA,4.6,,,
West Virginia,WV,5.2,,,
Wisconsin,WI,3.3,,,
Wyoming,WY,4.3,,,
